zeta,omegs,df,cc
4,3,7,5.5938
4,3,8,5.5938
4,3,9,5.875
4,4,1,14.797
4,4,2,15.234
4,4,3,15.203
4,4,4,15.188
4,4,5,5.5469
4,4,6,5.4219
4,4,7,5.5156
4,4,8,5.625
4,4,9,5.25
4,5,1,15.109
4,5,2,15.156
4,5,3,14.078
4,5,4,14.266
4,5,5,5.4688
4,5,6,4.8906
4,5,7,4.9063
4,5,8,5.0313
4,5,9,5.125
4,6,1,15.016
4,6,2,14.359
4,6,3,14.188
4,6,4,14
4,6,5,4.3281
4,6,6,4.625
4,6,7,4.1406
4,6,8,4.3281
4,6,9,4.7188
4,7,1,15.031
4,7,2,14.656
4,7,3,13.422
4,7,4,11.375
4,7,5,3.625
4,7,6,2.875
4,7,7,3.5313
4,7,8,3.4375
4,7,9,3.6563
4,8,1,14.625
4,8,2,14.578
4,8,3,10.656
4,8,4,6.2344
4,8,5,1.1719
4,8,6,1.3906
4,8,7,1.5938
4,8,8,1.6094
4,8,9,1.4063
4,9,1,15.016
4,9,2,14.047
4,9,3,5.5625
4,9,4,1.3906
4,9,5,0.046875
4,9,6,0.35938
4,9,7,0.32813
4,9,8,0.4375
4,9,9,0.34375
5,1,1,15.219
5,1,2,14.781
5,1,3,15.219
5,1,4,14.641
5,1,5,6.0625
5,1,6,5.2969
5,1,7,5.5156
5,1,8,5.8281
5,1,9,5.4688
5,2,1,15.484
5,2,2,14.75
5,2,3,14.578
5,2,4,13.828
5,2,5,4.8906
5,2,6,4.6406
5,2,7,4.9531
5,2,8,4.9531
5,2,9,5.5313
5,3,1,14.563
5,3,2,15.063
5,3,3,8.5938
5,3,4,5.0156
5,3,5,0.8125
5,3,6,1.2969
5,3,7,1.3906
5,3,8,1.4688
5,3,9,1.5625
5,4,1,14.641
5,4,2,13.172
5,4,3,3.2656
5,4,4,0.79688
5,4,5,0.046875
5,4,6,0.4375
5,4,7,0.40625
5,4,8,0.35938
5,4,9,0.45313
5,5,1,15.859
5,5,2,12.188
5,5,3,1.1563
5,5,4,1
5,5,5,1
5,5,6,1.0313
5,5,7,1.0625
5,5,8,1.0156
5,5,9,1.0313
5,6,1,15.266
5,6,2,9.6719
5,6,3,1
5,6,4,1
5,6,5,1
5,6,6,1
5,6,7,1
5,6,8,1
5,6,9,1
5,7,1,13.859
5,7,2,4.1406
5,7,3,0
5,7,4,0
5,7,5,0
5,7,6,0
5,7,7,0
5,7,8,0
5,7,9,0
5,8,1,12.063
5,8,2,0.29688
5,8,3,0
5,8,4,0
5,8,5,0
5,8,6,0
5,8,7,0
5,8,8,0
5,8,9,0
5,9,1,8.9219
5,9,2,0
5,9,3,0
5,9,4,0
5,9,5,0
5,9,6,0
5,9,7,0
5,9,8,0
5,9,9,0
6,1,1,15.578
6,1,2,15.188
6,1,3,14.891
6,1,4,14.641
6,1,5,5.5
6,1,6,5.5156
6,1,7,5.6094
6,1,8,5.5156
6,1,9,5.4375
6,2,1,15.594
6,2,2,15.422
6,2,3,13.297
6,2,4,13.313
6,2,5,4.4375
6,2,6,4.4375
6,2,7,4.2969
6,2,8,4.4531
6,2,9,4.7656
6,3,1,14.984
6,3,2,13.734
6,3,3,4.1875
6,3,4,0.84375
6,3,5,0.046875
6,3,6,0.34375
6,3,7,0.20313
6,3,8,0.35938
6,3,9,0.21875
6,4,1,14.813
6,4,2,12.922
6,4,3,0.60938
6,4,4,0
6,4,5,0
6,4,6,0.015625
6,4,7,0.015625
6,4,8,0
6,4,9,0.0625
6,5,1,13.859
6,5,2,9.1875
6,5,3,0
6,5,4,0
6,5,5,0
6,5,6,0
6,5,7,0
6,5,8,0
6,5,9,0
6,6,1,15.547
6,6,2,5.6563
6,6,3,1
6,6,4,1
6,6,5,1
6,6,6,1
6,6,7,1
6,6,8,1
6,6,9,1
6,7,1,12.813
6,7,2,1.0469
6,7,3,0
6,7,4,0
6,7,5,0
6,7,6,0
6,7,7,0
6,7,8,0
6,7,9,0
6,8,1,8.5781
6,8,2,0
6,8,3,0
6,8,4,0
6,8,5,0
6,8,6,0
6,8,7,0
6,8,8,0
6,8,9,0
6,9,1,5.0469
6,9,2,0
6,9,3,0
6,9,4,0
6,9,5,0
6,9,6,0
6,9,7,0
6,9,8,0
6,9,9,0
7,1,1,14.984
7,1,2,15.016
7,1,3,14.797
7,1,4,15.156
7,1,5,5.7031
7,1,6,5.4844
7,1,7,5.8438
7,1,8,5.7969
7,1,9,5.6719
7,2,1,14.875
7,2,2,15.594
7,2,3,14.484
7,2,4,12.563
7,2,5,4.4063
7,2,6,4.25
7,2,7,4.4531
7,2,8,4.5
7,2,9,4.2813
7,3,1,15.453
7,3,2,13.859
7,3,3,4.2344
7,3,4,0.85938
7,3,5,0.03125
7,3,6,0.17188
7,3,7,0.39063
7,3,8,0.3125
7,3,9,0.375
7,4,1,14.203
7,4,2,12.609
7,4,3,0.51563
7,4,4,0
7,4,5,0
7,4,6,0.015625
7,4,7,0.03125
7,4,8,0.03125
7,4,9,0
7,5,1,15.172
